season,date,team1,team2,prob1,prob1_outcome,prob2,prob2_outcome
2021,2021-10-06,Sky,Sun,0.49035024143993294,1,0.509649758560067,0
2021,2021-10-03,Mercury,Aces,0.6419157652696798,1,0.35808423473032025,0
2021,2021-10-03,Sky,Sun,0.4592798084836952,1,0.5407201915163048,0
2021,2021-09-30,Aces,Mercury,0.7928044592994424,0,0.20719554070055757,1
2021,2021-09-30,Sun,Sky,0.773596286084189,1,0.22640371391581104,0
2021,2021-09-28,Aces,Mercury,0.7832321356926689,1,0.21676786430733108,0
2021,2021-09-28,Sun,Sky,0.8259459400450258,0,0.17405405995497425,1
2021,2021-09-26,Lynx,Sky,0.7707070196529773,0,0.22929298034702272,1
2021,2021-09-26,Storm,Mercury,0.6295548998093902,0,0.37044510019060983,1
2021,2021-09-23,Mercury,Liberty,0.8933688222202713,1,0.10663117777972875,0
2021,2021-09-23,Sky,Wings,0.7613647337645283,1,0.2386352662354717,0
2021,2021-09-19,Sky,Fever,0.8391286831548505,1,0.16087131684514955,0
2021,2021-09-19,Wings,Sparks,0.612010384664115,1,0.38798961533588505,0
2021,2021-09-19,Mercury,Aces,0.4677366908092141,0,0.5322633091907859,1
2021,2021-09-19,Mystics,Lynx,0.34745381201463843,0,0.6525461879853616,1
2021,2021-09-19,Sun,Dream,0.931439933140754,1,0.06856006685924598,0
2021,2021-09-17,Storm,Mercury,0.5667546787357955,1,0.43324532126420445,0
2021,2021-09-17,Sky,Aces,0.4841424369871029,0,0.5158575630128971,1
2021,2021-09-17,Fever,Lynx,0.23722206183830657,0,0.7627779381616935,1
2021,2021-09-17,Liberty,Mystics,0.46036001163561663,1,0.5396399883643834,0
2021,2021-09-16,Dream,Sparks,0.4826102895738158,0,0.5173897104261842,1
2021,2021-09-15,Sun,Liberty,0.925553042375483,1,0.07444695762451703,0
2021,2021-09-14,Dream,Fever,0.607596570180935,1,0.39240342981906495,0
2021,2021-09-13,Aces,Wings,0.8315969020771248,1,0.16840309792287522,0
2021,2021-09-12,Sparks,Storm,0.3206955874036899,1,0.6793044125963101,0
2021,2021-09-12,Lynx,Fever,0.881622124016089,1,0.11837787598391103,0
2021,2021-09-12,Sky,Mystics,0.7994876923923863,0,0.20051230760761374,1
2021,2021-09-11,Mercury,Sun,0.4922365053245003,0,0.5077634946754996,1
2021,2021-09-11,Wings,Liberty,0.7365837279420264,1,0.2634162720579736,0
2021,2021-09-10,Lynx,Fever,0.876766638391908,1,0.12323336160809195,0
2021,2021-09-10,Mystics,Dream,0.7112302500552301,1,0.2887697499447699,0
2021,2021-09-09,Sparks,Sun,0.23950879849507506,0,0.760491201504925,1
2021,2021-09-08,Aces,Lynx,0.622182322824707,1,0.377817677175293,0
2021,2021-09-08,Dream,Mercury,0.26435867184429135,0,0.7356413281557086,1
2021,2021-09-07,Storm,Mystics,0.8006179798042917,1,0.19938202019570828,0
2021,2021-09-07,Wings,Sun,0.33407005895103803,0,0.665929941048962,1
2021,2021-09-06,Fever,Mercury,0.2770856876399844,0,0.7229143123600156,1
2021,2021-09-05,Wings,Dream,0.798083504252987,0,0.20191649574701298,1
2021,2021-09-05,Sky,Aces,0.5150436166480321,1,0.4849563833519679,0
2021,2021-09-04,Lynx,Mystics,0.8180961096209682,1,0.18190389037903176,0
2021,2021-09-04,Fever,Mercury,0.3096634839847375,0,0.6903365160152626,1
2021,2021-09-02,Aces,Sky,0.6865840275924577,1,0.31341597240754226,0
2021,2021-09-02,Storm,Liberty,0.8606296838284997,1,0.1393703161715003,0
2021,2021-09-02,Wings,Dream,0.7922680109467345,1,0.2077319890532655,0
2021,2021-09-02,Lynx,Sparks,0.8410684569970712,1,0.15893154300292878,0
2021,2021-08-31,Mercury,Sky,0.5653294218213802,1,0.43467057817861976,0
2021,2021-08-31,Lynx,Liberty,0.8743747113555116,1,0.1256252886444884,0
2021,2021-08-31,Fever,Sparks,0.5403030395482361,1,0.4596969604517639,0
2021,2021-08-31,Mystics,Sun,0.31953646159733656,0,0.6804635384026634,1
2021,2021-08-29,Storm,Sky,0.737631933504678,0,0.26236806649532196,1
2021,2021-08-28,Sun,Sparks,0.8611860509589484,1,0.1388139490410516,0
2021,2021-08-28,Mystics,Wings,0.5485375006501085,1,0.45146249934989147,0
2021,2021-08-28,Fever,Aces,0.26258357980232744,0,0.7374164201976725,1
2021,2021-08-27,Storm,Sky,0.77267858217685,0,0.22732141782314996,1
2021,2021-08-27,Liberty,Mercury,0.35374683311355964,0,0.6462531668864404,1
2021,2021-08-26,Dream,Aces,0.23050193965195526,0,0.7694980603480448,1
2021,2021-08-26,Sun,Sparks,0.8584031526178033,1,0.1415968473821967,0
2021,2021-08-26,Mystics,Wings,0.5825729835114933,0,0.41742701648850666,1
2021,2021-08-25,Liberty,Mercury,0.41482605043833215,0,0.5851739495616679,1
2021,2021-08-24,Lynx,Storm,0.5154489783135846,1,0.4845510216864154,0
2021,2021-08-24,Dream,Sky,0.3618706547718195,0,0.6381293452281804,1
2021,2021-08-24,Sun,Aces,0.6150008710522551,1,0.3849991289477449,0
2021,2021-08-24,Mystics,Sparks,0.6336764502662277,1,0.36632354973377235,0
2021,2021-08-22,Mystics,Storm,0.31487766554407703,0,0.685122334455923,1
2021,2021-08-22,Liberty,Sparks,0.5889111422041233,0,0.41108885779587667,1
2021,2021-08-21,Sky,Lynx,0.53138113523561,0,0.46861886476438996,1
2021,2021-08-21,Dream,Mercury,0.3850977817422972,0,0.6149022182577029,1
2021,2021-08-20,Wings,Fever,0.7713851427915956,0,0.22861485720840435,1
2021,2021-08-20,Liberty,Storm,0.2791711534366029,0,0.7208288465633971,1
2021,2021-08-19,Sparks,Dream,0.6847037863989498,1,0.3152962136010502,0
2021,2021-08-19,Mercury,Mystics,0.6750954969610532,1,0.3249045030389468,0
2021,2021-08-19,Sun,Lynx,0.6500972863269204,1,0.34990271367307957,0
2021,2021-08-18,Liberty,Storm,0.24388598894944127,1,0.7561140110505588,0
2021,2021-08-17,Sparks,Dream,0.6697973421114882,1,0.3302026578885118,0
2021,2021-08-17,Aces,Mystics,0.8059451519472433,1,0.19405484805275675,0
2021,2021-08-17,Mercury,Fever,0.7841496262835153,1,0.21585037371648474,0
2021,2021-08-17,Sky,Wings,0.7073492362207903,0,0.29265076377920973,1
2021,2021-08-17,Sun,Lynx,0.619072094644485,1,0.380927905355515,0
2021,2021-08-15,Sparks,Fever,0.6617891114504327,1,0.33821088854956727,0
2021,2021-08-15,Lynx,Liberty,0.8416420404481447,1,0.15835795955185528,0
2021,2021-08-15,Aces,Mystics,0.8025556920106901,1,0.1974443079893099,0
2021,2021-08-15,Mercury,Dream,0.7657427883656567,1,0.23425721163434332,0
2021,2021-08-15,Sky,Storm,0.4130467752486292,1,0.5869532247513708,0
2021,2021-08-15,Wings,Sun,0.47280149416090583,0,0.5271985058390942,1
2021,2021-08-12,Storm,Sun,0.6880695909838722,1,0.3119304090161278,0
2021,2021-07-11,Sparks,Lynx,0.3754266455480505,0,0.6245733544519495,1
2021,2021-07-11,Storm,Mercury,0.7993799209423227,1,0.20062007905767731,0
2021,2021-07-11,Dream,Fever,0.682779856720635,0,0.317220143279365,1
2021,2021-07-11,Liberty,Sun,0.3559806303392887,0,0.6440193696607113,1
2021,2021-07-11,Wings,Aces,0.4743881759911393,0,0.5256118240088608,1
2021,2021-07-10,Sky,Mystics,0.7409596595963761,0,0.2590403404036239,1
2021,2021-07-09,Aces,Lynx,0.7014274306408038,0,0.2985725693591962,1
2021,2021-07-09,Mercury,Storm,0.3372774539025359,1,0.6627225460974642,0
